source,source_record_id,source_snapshot_date,title,title_normalized,job_level,location,experience_years_min,experience_years_max,skills,salary_min,salary_max,category,source_metadata
topcv,1058739,2026-07-17,Chuyên Viên Kỹ Thuật,Chuyên Viên Kỹ Thuật,mid,Ha Noi,3,3,[],15000000.00,20000000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN SIMPACE VIỆT NAM"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""fdd63001c50c088355898f6ec6f56a2dbfffb3f8981ea112baa990243f52b872"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:32.787107+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-ky-thuat/1058739.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1110732,2026-07-12,Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),Business Analyst,mid,Ha Noi,2,2,[],10000000.00,20000000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN SMART - SOLUTIONS VIỆT NAM"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""f4ab3b2f90fed51442e84e1dc3bb8f96cb16cd2abf85ca9fdaed2511be24bdc2"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:43.049756+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst/1110732.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1206193,2026-07-15,Chuyên Viên Phân Tích Nghiệp Vụ (BA),Business Analyst,mid,Ha Noi,1,1,[],10000000.00,13000000.00,information_technology,"{""company_name"":""Công ty Cổ phần Giáo dục và Công nghệ TIW"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""6ccbdc3c65729462d0cc5e78534b38ecbc5ed30f1e28aacc09e0125c7f78e772"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:43.045358+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba/1206193.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1305294,2026-07-14,Junior/Middle Data Analyst Mảng App Mobile Android,Junior Data Analyst,junior,Ha Noi,2,2,"[""Android (Native)""]",12000000.00,25000000.00,information_technology,"{""company_name"":""Công ty cổ phần phần mềm Matechmobile"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""9cf15d233a305a2b9736937a8ebd49fc05b8fa63ce23f5ffe920a15552a057d1"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:43.046229+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/junior-middle-data-analyst-mang-app-mobile-android/1305294.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1578922,2026-07-12,Nhân Viên IT - Quản Trị Mạng,Network Engineer,mid,Nghệ An,0,1,[],8000000.00,10000000.00,information_technology,"{""company_name"":""Công ty Cổ phần TTH Group"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""cc707c1f0b1855d6c0d7c579820e4535ce6c5bc655f6b037cd6ba923e67bb076"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:41:03.085179+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/nhan-vien-it-quan-tri-mang/1578922.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1632798,2026-07-15,"Model-Based System Engineer (MBSE) Internship - Thực Tập Sinh Kỹ Sư Hệ Thống (Sinh Viên Năm Cuối Ngành Điện & Điện Tử, Cơ Điện Tử, Ô Tô; Domain Embedded & Automotive)",System Engineer,intern,Ha Noi,0,0,[],1500000.00,2000000.00,information_technology,"{""company_name"":""Công ty Cổ phần Vietsol"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""4592805800b6841d521705db6d4531855ba6ffdef01195f6cf53181fc0a6b0b0"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:27.861756+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/model-based-system-engineer-mbse-internship-thuc-tap-sinh-ky-su-he-thong-sinh-vien-nam-cuoi-nganh-dien-dien-tu-co-dien-tu-o-to-domain-embedded-automotive/1632798.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1725377,2026-07-14,Biên Tập Viên Nhập Liệu,Biên Tập Viên Nhập Liệu,mid,Ha Noi,1,1,[],8000000.00,10000000.00,information_technology,"{""company_name"":""CÔNG TY TNHH GIÁO DỤC EDMICRO"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""b9001821441fbac41d37307968a32d1c2b1c6b3e38e0a6df2605113c836e5ce4"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:41:03.043577+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/bien-tap-vien-nhap-lieu/1725377.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1878912,2026-07-16,Software Tester (Thu Nhập 15 - 18 Triệu),QA Engineer,mid,Ha Noi,2,2,[],15000000.00,20000000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ SOLID"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""707d08410263dde7d7dc6ddd5d1685b17a534adfb0eb7b15b3036c06f4a21055"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:27.868813+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/software-tester-thu-nhap-15-18-trieu/1878912.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1879746,2026-07-15,Lập Trình,Lập Trình,mid,Ha Noi,3,3,[],20000000.00,30000000.00,information_technology,"{""company_name"":""Cty Cổ phần Blueco toàn cầu"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""54256117e0dac2b05378ef4e03782ed71c4b6faf59b8e901faff8bc0f054a322"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:57.892497+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/lap-trinh/1879746.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1893948,2026-07-14,Chuyên Viên IT Helpdesk,IT Support,mid,Quảng Ninh,2,2,[],10000000.00,15000000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN TẬP ĐOÀN LÂM NGỌC DƯƠNG"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""d72733db128cc6d81aa7180834c6d520abd54bf2690289f113b8bad9ee310974"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:57.907547+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-it-helpdesk/1893948.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
