source,source_record_id,source_snapshot_date,title,title_normalized,job_level,location,experience_years_min,experience_years_max,skills,salary_min,salary_max,category,source_metadata
topcv_archive,canhphu-001a6aa2006ab7d03ee96b66536fcf2bd094fbd660f40a1c,2026-06-02,Senior Java Developer,Senior Backend Developer,senior,Ha Noi,5,5,"[""Git"",""Java"",""Spring Boot"",""Spring Framework""]",,45000000.0,information_technology,"{""company_name"":""CÔNG TY TNHH SOFTROAD"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""001a6aa2006ab7d03ee96b66536fcf2bd094fbd660f40a1c5866abaa1e76dbc0"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-02.csv"",""raw_sha256"":""626911361e49e313006db93e323739136de1edeeef2da643e1ad80115a793208"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-00aaedeb64dd8366c8b5c6c388524c58279aacec8a07f01c,2026-05-28,AI Engineer(2X-5X Million/ Month),AI Engineer,mid,Ho Chi Minh City,4,4,"[""Adobe Illustrator""]",20000000.0,60000000.0,information_technology,"{""company_name"":""CÔNG TY TNHH SONIC FUSION"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""00aaedeb64dd8366c8b5c6c388524c58279aacec8a07f01c3dcee79ac113c8b6"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-05-28.csv"",""raw_sha256"":""0fdb0e2227adc7fff7a9a86f9b35617cd1b49f517e43626fbc8a225db9128ae4"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-00c53d8035f3c70f7e633599af89fd7f12e044e19e8228c9,2026-06-21,Fullstack Developer(From 3 YoE) - Domain E-Commerce Product,Fullstack Developer,mid,Ha Noi,3,3,"[""Adobe Illustrator"",""Docker"",""Go"",""GraphQL"",""Node.js"",""PHP"",""Python"",""REST"",""React"",""SQL"",""Shopify"",""WooCommerce"",""toolz""]",,35000000.0,information_technology,"{""company_name"":""XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""00c53d8035f3c70f7e633599af89fd7f12e044e19e8228c97c7039122aab0c77"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-21.csv"",""raw_sha256"":""442f1c359e6bf920f19637258629194e73f0986828629cffb10a9e9c5b98e9b7"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-00d732a15f4c0e275e9cef5454b033c58f96a13df2a81c04,2026-05-22,Web Scraping & API ReverseEngineer(API & Anti-Bot Bypass / Crawler),Web Scraping & API ReverseEngineer API & Anti-Bot Bypass / Crawler ,mid,Ha Noi,1,1,[],25000000.0,35000000.0,information_technology,"{""company_name"":""Công ty CP Khoa học Dữ liệu"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""00d732a15f4c0e275e9cef5454b033c58f96a13df2a81c040c6f0daa0a0be89d"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-05-22.csv"",""raw_sha256"":""f55b1d097d0cc2a0e0e361001311c5b85a1769b6e2cf79b74529d10bf3af6d93"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-0111c1972930ec98cc5e30b5ca0a56170b4f4d866a50da2b,2026-06-21,Nhân Viên Phát Triển Phần Mềm(.Net 8),Software Engineer,mid,Ho Chi Minh,1,1,"["".NET""]",12000000.0,16000000.0,information_technology,"{""company_name"":""Công ty Cổ phần Công Nghệ Vũ Thảo"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""0111c1972930ec98cc5e30b5ca0a56170b4f4d866a50da2b914d4c565f18c817"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-21.csv"",""raw_sha256"":""442f1c359e6bf920f19637258629194e73f0986828629cffb10a9e9c5b98e9b7"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-016e59975edc57b97fe048ffecf864d6f9a9d83845cc3d7f,2026-06-21,Nhân Viên Kinh DoanhThiết Bị Công Nghệ,Nhân Viên Kinh DoanhThiết Bị Công Nghệ,mid,Ha Noi,0,0,[],10000000.0,20000000.0,information_technology,"{""company_name"":""Công ty cổ phần thiết bị và khoa học kỹ thuật Đại Nam"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""016e59975edc57b97fe048ffecf864d6f9a9d83845cc3d7fa8a801eb34a43f74"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-21.csv"",""raw_sha256"":""442f1c359e6bf920f19637258629194e73f0986828629cffb10a9e9c5b98e9b7"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-017999da2edb360e730d08843a84fe570cae17627a7a8d13,2026-06-21,"BrSE- BridgeBA(Mid-Level) / Thành ThạoTiếng Nhật/ TạiPhường An Khánh, Quận 2, HCM (Cũ)","BrSE- BridgeBA Mid-Level / Thành ThạoTiếng Nhật/ TạiPhường An Khánh, Quận 2, HCM Cũ ",mid,Ho Chi Minh,1,1,"[""AWS"",""Adobe Illustrator"",""Node.js"",""REST API"",""TypeScript"",""toolz""]",30000000.0,43000000.0,information_technology,"{""company_name"":""CÔNG TY TNHH FAVOLIST5 ASIA"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""017999da2edb360e730d08843a84fe570cae17627a7a8d13e850ab01f1173371"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-21.csv"",""raw_sha256"":""442f1c359e6bf920f19637258629194e73f0986828629cffb10a9e9c5b98e9b7"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-0185a048a76126e890eb8b31349bc366f7709d699ed73e95,2026-06-21,JuniorBusiness Analyst,JuniorBusiness Analyst,mid,Ha Noi,2,2,[],15000000.0,20000000.0,information_technology,"{""company_name"":""Công ty Cổ phần Đầu tư Mobino"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""0185a048a76126e890eb8b31349bc366f7709d699ed73e95ea3190ecfc98fe3f"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-21.csv"",""raw_sha256"":""442f1c359e6bf920f19637258629194e73f0986828629cffb10a9e9c5b98e9b7"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-01d8d22787df25d9504a69bb8fb7b978bce0f174fe35577d,2026-06-15,Java Backend Developer(Middle) - 20-35 M,Backend Developer,mid,Ha Noi,2,2,"[""Java""]",20000000.0,35000000.0,information_technology,"{""company_name"":""Công ty Cổ phần Công nghệ MicroTech"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""01d8d22787df25d9504a69bb8fb7b978bce0f174fe35577d1c5d5a02b05b5608"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-15.csv"",""raw_sha256"":""b280a7d9b2cd4b4a50f18313f72b2256c6153eaeb3c6f1e0befa46554255d866"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv_archive,canhphu-02c646887fbcbe460525a4c3359689feec7c63461a8526b3,2026-06-21,Lập Trình Viên(.Net/JavaScript/NodeJS/ReactJS),Backend Developer,mid,Ha Noi,1,1,"["".NET"",""ASP.NET Core"",""CSS"",""JavaScript"",""Node.js"",""REST API"",""React""]",7000000.0,15000000.0,information_technology,"{""company_name"":""Công ty Cổ phần Giải pháp Phần mềm Doanh nghiệp"",""dataset"":""canhphu/job_prediction"",""dataset_commit"":""5cce1ddf501ae3e8ddfce046f3b82a1990570eeb"",""dataset_url"":""https://github.com/canhphu/job_prediction"",""identity_method"":""sha256(casefolded title, company, primary location)"",""identity_sha256"":""02c646887fbcbe460525a4c3359689feec7c63461a8526b30f673c317f2d35a0"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""crawler run date"",""platform"":""topcv"",""raw_filename"":""topcv_2026-06-21.csv"",""raw_sha256"":""442f1c359e6bf920f19637258629194e73f0986828629cffb10a9e9c5b98e9b7"",""salary_source_currency"":""VND"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
