source,source_record_id,source_snapshot_date,title,title_normalized,job_level,location,experience_years_min,experience_years_max,skills,salary_min,salary_max,category,source_metadata
topcv,1155996,2026-07-11,Nhân Viên Lập Trình CNC,Nhân Viên Lập Trình CNC,mid,Hải Phòng,1,1,[],12000000.00,,information_technology,"{""company_name"":""Công ty Cổ phần dịch vụ kỹ thuật Bảo An"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/nhan-vien-lap-trinh-cnc/1155996.html"",""first_seen_at"":""2026-07-18T17:02:16.497192+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""d700983078b23939750148d343168c08f086f798867ede7394d4a668f4368b24"",""scraped_at"":""2026-07-19T04:41:03.067561+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/nhan-vien-lap-trinh-cnc/1155996.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1155998,2026-07-15,.NET Developer,Backend Developer,mid,Ho Chi Minh,2,2,"["".NET""]",,20000000.00,information_technology,"{""company_name"":""CÔNG TY TNHH GIẢI PHÁP ECR VIỆT NAM"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/net-developer/1155998.html"",""first_seen_at"":""2026-07-18T17:02:16.008093+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""50b134fef2d5decfab38faabbf2db036448727cc6273ca97a547520b543f32a9"",""scraped_at"":""2026-07-19T04:40:43.037242+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/net-developer/1155998.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1162390,2026-07-14,Unity Developer,Game Developer,mid,Ha Noi,1,1,"[""Unity""]",15000000.00,50000000.00,information_technology,"{""company_name"":""CÔNG TY TNHH HORUS PRODUCTIONS"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/unity-developer/1162390.html"",""first_seen_at"":""2026-07-18T17:02:16.372767+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""142aaa3fb1d89b5463514bdaebd0a350fb9a63c85559bba0a5c45e4d7d91456d"",""scraped_at"":""2026-07-19T04:40:57.874793+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/unity-developer/1162390.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1179178,2026-07-11,App Developer,App Developer,mid,Ha Noi,1,1,[],10000000.00,20000000.00,information_technology,"{""company_name"":""WAYFU STUDIO"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/app-developer/1179178.html"",""first_seen_at"":""2026-07-18T17:02:15.599565+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""d94b86ff38e6dbc6c682c641561a46f4a76475e43277a692e4ef977d1fa2d2dc"",""scraped_at"":""2026-07-19T04:40:27.856759+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/app-developer/1179178.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1327093,2026-06-18,Thực Tập Sinh React Native,Thực Tập Sinh React Native,intern,Ho Chi Minh,0,0,"[""React Native""]",1500000.00,2000000.00,information_technology,"{""company_name"":""CÔNG TY TNHH CÔNG NGHỆ & DỊCH VỤ ĐẤT VIỆT"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/thuc-tap-sinh-react-native/1327093.html"",""first_seen_at"":""2026-07-18T17:02:17.950688+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""56ea323cef846dcfce75e2483ae81e51f8d48072ec4eeab3ac2f76e347245804"",""scraped_at"":""2026-07-19T04:35:07.158079+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/thuc-tap-sinh-react-native/1327093.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1374900,2026-06-18,Game Developer,Game Developer,mid,Ha Noi,1,1,[],12500000.00,37500000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN NEXAR (NEXAR GAMES)"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/game-developer/1374900.html"",""first_seen_at"":""2026-07-18T17:02:16.065060+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""f3e11289b4f4ebb210fbb2fb7ae10f970c5b1f1ec8951875b51a3973d778c1c7"",""scraped_at"":""2026-07-19T04:40:43.057204+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/game-developer/1374900.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1425273,2026-06-18,Lập Trình Wordpress Developer,Backend Developer,mid,Ho Chi Minh,3,3,"[""WordPress""]",13000000.00,15000000.00,information_technology,"{""company_name"":""Công ty TNHH Đầu tư Thương Mại Flexhouse"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/lap-trinh-wordpress-developer/1425273.html"",""first_seen_at"":""2026-07-18T17:02:17.929272+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""376f00713088cc98c51c1ecb11f2f4f40ad481bdd79cf7f709c9ab3262866cbe"",""scraped_at"":""2026-07-19T04:35:07.156324+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/lap-trinh-wordpress-developer/1425273.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1506755,2026-07-04,Java Developer Lead (Backend),Backend Developer,lead,Ha Noi,2,2,"[""Java""]",15000000.00,40000000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN GLOBAL TECHNOLOGY SOLUTIONS VIỆT NAM"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/java-developer-lead-backend/1506755.html"",""first_seen_at"":""2026-07-18T17:02:18.088095+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""f42d58d2e65bdd89983620f0f77237f2ba96b0a7608f1318d4f0887631cc0676"",""scraped_at"":""2026-07-19T04:35:07.174516+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/java-developer-lead-backend/1506755.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1514258,2026-07-11,Lập Trình Viên.NET,Software Engineer,mid,Thái Nguyên,1,1,[],14000000.00,22000000.00,information_technology,"{""company_name"":""CHI NHÁNH GIẢI PHÁP CÔNG NGHỆ TRE - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI TNG"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/lap-trinh-vien-net/1514258.html"",""first_seen_at"":""2026-07-18T17:02:17.510410+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""26f52acc8b05931d3b4cc4315969dda6f2cc49ba34dbcb602baf21fb3745301b"",""scraped_at"":""2026-07-19T04:35:02.360474+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/lap-trinh-vien-net/1514258.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1531271,2026-07-04,Lập Trình Viên Fresher (Tiếng Nhật),Software Engineer,fresher,Ha Noi,0,0,[],,15000000.00,information_technology,"{""company_name"":""CÔNG TY TNHH KỸ SƯ CÔNG NGHỆ CAO VN"",""dataset"":""jobradar/topcv-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.topcv.vn/viec-lam/lap-trinh-vien-fresher-tieng-nhat/1531271.html"",""first_seen_at"":""2026-07-18T17:02:17.113927+00:00"",""first_seen_batch_id"":""42c0cbd6-0939-4304-ba41-2bf2766aef6a"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""topcv"",""raw_payload_sha256"":""fbda086c47c39a557ca33edb3a17a2df7107989ea0572c9a586b8ebac256acb6"",""scraped_at"":""2026-07-19T04:34:57.138735+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/lap-trinh-vien-fresher-tieng-nhat/1531271.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
