source,source_record_id,source_snapshot_date,title,title_normalized,job_level,location,experience_years_min,experience_years_max,skills,salary_min,salary_max,category,source_metadata
vietnamworks,2052097,2026-06-15,Account Manager (B2B / Enterprise),Account Manager B2B / Enterprise ,manager,Ho Chi Minh,2,,"[""B2B Sales"",""Giải Pháp Công Nghệ"",""Phát Triển Khách Hàng"",""Tìm Kiếm Khách Hàng"",""Tư Vấn Giải Pháp""]",22500000.00,,information_technology,"{""company_name"":""Công Ty CP Giải Pháp Kinh Doanh Nền Tảng - Basebs"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/account-manager-b2b-enterprise-2052097-jv"",""first_seen_at"":""2026-07-15T15:57:09.167269+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""255d8a3e3e1983b2b9cd39c25e33323ff71b6c10425f057c66d423d5bfce1384"",""scraped_at"":""2026-07-15T16:57:15.757556+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/account-manager-b2b-enterprise-2052097-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2053097,2026-06-25,Business Analyst,Business Analyst,mid,Ho Chi Minh,2,,"[""BPM"",""Business Process Design"",""Communication"",""Data Analysis"",""Microsoft Teams"",""SQL""]",20000000.00,37500000.00,information_technology,"{""company_name"":""FPT IS"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/business-analyst-2053097-jv"",""first_seen_at"":""2026-07-15T15:57:14.551435+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""e83e9ae0b935d8df104549e40a093f6f9a60acf31e5cb4bd608a01d33e58f303"",""scraped_at"":""2026-07-18T20:30:41.363098+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/business-analyst-2053097-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2053226,2026-06-19,Solution Architect - Salary Up to $5000,Solution Architect,mid,Ha Noi,7,,"[""APIs"",""AWS"",""Databases"",""Microservices"",""SolidJS"",""Solution Architecture"",""System Design"",""Technical Architecture"",""Workplace from Meta""]",,125000000.00,information_technology,"{""company_name"":""FPT Software"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/solution-architect-salary-up-to-5000-2053226-jv"",""first_seen_at"":""2026-07-15T15:57:08.447261+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""b2006dd0ed82f623654991ca263807b6fa616922efc4846999e0d57cfd83b742"",""scraped_at"":""2026-07-18T20:30:21.279681+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/solution-architect-salary-up-to-5000-2053226-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2053289,2026-06-25,Software FA & Test Engineer,QA Engineer,mid,Hai Phong,5,,"[""C++"",""C/C++"",""Excel"",""Kiểm Thử"",""MATLAB"",""Sản xuất""]",25000000.00,40000000.00,information_technology,"{""company_name"":""Công Ty TNHH Polarium Việt Nam"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/software-fa-test-engineer-2053289-jv"",""first_seen_at"":""2026-07-15T15:57:12.216707+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""40555210961daa4a5502e803452065768c5b83c919352e26a86bea97ec6522be"",""scraped_at"":""2026-07-18T20:30:21.304138+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/software-fa-test-engineer-2053289-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2053616,2026-06-15,Research and Teaching Assistant (RTA) in Data Science and Operations Research/optimization,Research and Teaching Assistant RTA in Data Science and Operations Research/optimization,mid,Binh Duong,,,"[""Bioinformatics"",""English Fluency"",""Machine Learning"",""Python"",""Research"",""Teaching""]",30000000.00,35000000.00,information_technology,"{""company_name"":""VGU - Vietnamese German University"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/research-and-teaching-assistant-rta-in-data-science-and-operations-research-optimization-2053616-jv"",""first_seen_at"":""2026-07-15T15:57:09.727853+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""a0a2d94cf548b246e92634ea7e29b82aad12c591ef1233cb66fdb574fe18aaec"",""scraped_at"":""2026-07-15T16:57:15.766869+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/research-and-teaching-assistant-rta-in-data-science-and-operations-research-optimization-2053616-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2054906,2026-06-29,"Technology & AI Innovation Manager (Lương Cứng Up to 100M/tháng, Thử Việc 100% Lương, Làm Việc T2-T6)","Technology & AI Innovation Manager Lương Cứng Up to 100M/tháng, Thử Việc 100% Lương, Làm Việc T2-T6 ",manager,Ha Noi,6,,"[""AI application"",""Adobe Illustrator"",""Agentic Ai"",""Engineering Background"",""Team Management"",""Technology Management""]",70000000.00,100000000.00,information_technology,"{""company_name"":""SAPP Academy"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/technology-ai-innovation-manager-luong-cung-up-to-100m-thang-thu-viec-100-luong-lam-viec-t2-t6-2054906-jv"",""first_seen_at"":""2026-07-15T15:57:14.355129+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""951994cb8c7a23eeb43214884e1ef1dc58d2de9bff5e687106cc865ded67561c"",""scraped_at"":""2026-07-18T20:30:41.359736+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/technology-ai-innovation-manager-luong-cung-up-to-100m-thang-thu-viec-100-luong-lam-viec-t2-t6-2054906-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2055078,2026-06-19,Key Account Manager (HCM),Key Account Manager HCM ,manager,Ho Chi Minh,3,,"[""Ba"",""Phân Tích Thị Trường"",""Sales"",""Tiếng Anh thành thạo""]",15000000.00,37500000.00,information_technology,"{""company_name"":""Công ty Cổ phần An ninh Mạng Việt Nam(VSEC)"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/key-account-manager-hcm-2055078-jv"",""first_seen_at"":""2026-07-15T15:57:11.580597+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""17cd751b060bbbf2d17e785bb70e3e59cb455ea922fa8f9fa7a6a5e7078d7532"",""scraped_at"":""2026-07-18T20:30:36.333041+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/key-account-manager-hcm-2055078-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2055152,2026-06-18,Chăm Sóc Khách Hàng (Làm Ca Đêm - Lĩnh Vực: Phần Mềm và Dịch Vụ Marketing Online - Thưởng Hấp Dẫn - Tổng Thu Nhập 2X. Trở Lên),Chăm Sóc Khách Hàng Làm Ca Đêm - Lĩnh Vực: Phần Mềm và Dịch Vụ Marketing Online - Thưởng Hấp Dẫn - Tổng Thu Nhập 2X. Trở Lên ,mid,Ho Chi Minh,1,,"[""Chăm Sóc Khách Hàng"",""Customer Management"",""DigitalOcean"",""Marketing Support"",""Phiên Dịch"",""Tiếng Anh Thành Thạo""]",10000000.00,37500000.00,information_technology,"{""company_name"":""Fastboy Marketing"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/cham-soc-khach-hang-lam-ca-em-linh-vuc-phan-mem-va-dich-vu-marketing-online-thuong-hap-dan-tong-thu-nhap-2x-tro-len-2055152-jv"",""first_seen_at"":""2026-07-15T15:57:06.039757+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""05d8490d240d2100a1776075c3b63f7c8ff94785d13c87bba9bb5ada0f685a60"",""scraped_at"":""2026-07-18T15:17:50.926890+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/cham-soc-khach-hang-lam-ca-em-linh-vuc-phan-mem-va-dich-vu-marketing-online-thuong-hap-dan-tong-thu-nhap-2x-tro-len-2055152-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2055708,2026-06-19,"Case Manager - 100% Remote, Contractor","Case Manager - 100% Remote, Contractor",manager,Ho Chi Minh,1,3,"[""Analytical Skills"",""Customer Service"",""English"",""MS Office Suite"",""Time Management""]",18750000.00,20000000.00,information_technology,"{""company_name"":""Aweplus CX Solution"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/case-manager-100-remote-contractor-2055708-jv"",""first_seen_at"":""2026-07-15T15:57:11.915694+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""6436ef715b5f5efd4b9bee1d2d3480061a5b9512477ac06736715c6d9ccecfee"",""scraped_at"":""2026-07-18T20:30:36.339674+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/case-manager-100-remote-contractor-2055708-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
vietnamworks,2055713,2026-06-19,"Client Management Assistant - 100% Remote, Contractor","Client Management Assistant - 100% Remote, Contractor",mid,Ha Noi,,,"[""Chăm Sóc Khách Hàng"",""Client Management"",""Client Support"",""English"",""MS Office Suit""]",10000000.00,12500000.00,information_technology,"{""company_name"":""Aweplus CX Solution"",""dataset"":""jobradar/vietnamworks-operational-salary-snapshot"",""dataset_commit"":""first-seen-before:2026-07-19T04:36:28.244910+00:00"",""dataset_url"":""https://www.vietnamworks.com/client-management-assistant-100-remote-contractor-2055713-jv"",""first_seen_at"":""2026-07-15T15:57:11.891489+00:00"",""first_seen_batch_id"":""3739f4fd-442d-44b8-aeb5-c13ac0d66b2e"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""source posting date resolved by the JobRadar adapter"",""platform"":""vietnamworks"",""raw_payload_sha256"":""adf4a415c2a4af2babc8ca2f8817373cecfd1fd67add551f1c8e4a02eef66a52"",""scraped_at"":""2026-07-18T20:30:36.338856+00:00"",""snapshot_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""source_url"":""https://www.vietnamworks.com/client-management-assistant-100-remote-contractor-2055713-jv"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
